,country,city,city_entityId,skyId,entityId,airport_name
0,france,Paris,27539733,CDG,95565041,Paris Charles de Gaulle
1,france,Paris,27539733,ORY,95565040,Paris Orly
2,france,Paris,27539733,BVA,95566278,Paris Beauvais
3,france,Paris,27539733,LBG,129053609,Paris Le Bourget
4,france,Fort De France,27541003,FDF,99539664,Fort De France
5,france,Calvi,27539840,CLY,95674359,Calvi
6,spain,Madrid,27544850,MAD,95565077,Madrid
7,spain,Barcelona,27548283,BCN,95565085,Barcelona
8,spain,Port Of Spain,27546011,POS,104120358,Port Of Spain
9,spain,La Gomera Tenerife,44293215,GMZ,95673310,La Gomera Tenerife
10,spain,Logroño,27548395,RJL,95566287,Logrono
11,spain,Santiago del Monte,46362301,OVD,95565102,Asturias
12,spain,Málaga,27547484,AGP,95565095,Malaga
13,germany,Frankfurt,27541706,FRA,95673652,Frankfurt am Main
14,germany,Frankfurt,27541706,HHN,95673548,Frankfurt Hahn
15,germany,Berlin,27547053,BER,95673383,Berlin Brandenburg
16,germany,Erfurt,27540942,ERF,128668007,Erfurt
17,germany,Hannover,27541989,HAJ,95673715,Hannover
18,germany,Paderborn,34341059,PAD,128667762,Paderborn
19,thailand,Bangkok,27536671,BKK,95673349,Bangkok Suvarnabhumi
20,thailand,Bangkok,27536671,DMK,95673350,Don Mueang
21,thailand,Phuket,27542069,HKT,104120378,Phuket
22,thailand,Chiang Mai,27539873,CNX,95674024,Chiang Mai
23,thailand,Krabi,27543110,KBV,95674159,Krabi
24,thailand,Ubon Ratchathani,27547305,UBP,95674257,Ubon Ratchathani
25,bali,Denpasar,27540795,DPS,95673809,Bali (Denpasar)
26,bali,Balikpapan,27539537,BPN,95673793,Balikpapan
27,bali,Bari,27539556,BRI,95673888,Bari
28,bali,Edremit / Korfez,37942344,EDO,128668429,Edremit / Korfez
29,philippines,Manila,27544979,MNL,95673326,Manila Ninoy Aquino
30,philippines,Cebu,38679349,CEB,95673597,Mactan-Cebu International
31,philippines,Angeles,38688480,CRK,95673327,Clark International
32,philippines,Caticlan,27544989,MPH,128667778,Caticlan (Boracay)
33,philippines,Panglao,27547122,TAG,95673598,Bohol-Panglao International
34,philippines,Puerto Princesa,27546026,PPS,95674098,Puerto Princesa (Palawan)
35,philippines,Butuan,27539654,BXU,128668354,Bancasi (Butuan)
36,china,Hong Kong,27542065,HKG,128668132,Hong Kong Intl
37,china,Shanghai,27546079,PVG,128667077,Shanghai Pudong
38,china,Shanghai,27546079,SHA,128669004,Shanghai Hongqiao
39,china,Guangzhou,27539684,CAN,128668169,Guangzhou
40,china,Nanchang,31513625,KHN,128668733,Nanchang
41,australia,Sydney,27547097,SYD,128667058,Sydney
42,australia,Melbourne,27544894,MEL,95673364,Melbourne Tullamarine
43,australia,Melbourne,27544894,AVV,128667535,Melbourne Avalon
44,australia,Brisbane,27539494,BNE,95673551,Brisbane
45,australia,Perth,27545934,PER,128668924,Perth
46,australia,Derby,27540877,DRB,129055669,Derby
47,italy,Rome,27539793,FCO,95565065,Rome Fiumicino
48,italy,Rome,27539793,CIA,95565062,Rome Ciampino
49,italy,Milan,27544068,MXP,95565070,Milan Malpensa
50,italy,Milan,27544068,BGY,95565071,Milan Bergamo
51,italy,Trieste,27547250,TRS,95566283,Trieste
52,russia,Moscow,27539438,SVO,114137841,Moscow Sheremetyevo
53,russia,Moscow,27539438,DME,128668012,Moscow Domodedovo
54,russia,Moscow,27539438,VKO,114093937,Moscow Vnukovo
55,russia,Moscow,27539438,ZIA,139174153,Moscow Zhukovsky
56,russia,Russian Mission,27546216,RSH,128668984,Russian Mission
57,russia,Grozny,27541925,GRV,128667952,Grozny
58,romania,Bucharest,27545262,OTP,95673426,Bucharest Otopeni
59,romania,Bucharest,27545262,BBU,129054661,Bucharest Baneasa
60,romania,Cluj-Napoca,27539829,CLJ,95673885,Cluj-Napoca
61,romania,Braşov,38634870,GHV,213969669,Brasov-Ghimbav International
62,romania,Baia Mare,27548255,BAY,95673887,Baia Mare
63,romania,Sibiu,27546265,SBZ,95674084,Sibiu
64,united states,New York,27537542,JFK,95565058,New York John F. Kennedy
65,united states,New York,27537542,EWR,95565059,New York Newark
66,united states,Los Angeles,27536211,LAX,95673368,Los Angeles International
67,united states,San Francisco,27546320,SFO,95673577,San Francisco International
68,united states,Boston,27539525,BOS,95673679,Boston Logan International
69,united states,Honolulu,27542058,HNL,95673827,Honolulu International
70,argentina,Buenos Aires,27536465,EZE,95673318,Buenos Aires Ministro Pistarini
71,argentina,Buenos Aires,27536465,AEP,128668190,Buenos Aires Jorge Newbery
72,argentina,Cordoba,27539889,COR,95673464,Cordoba
73,argentina,El Calafate,27541729,FTE,104120327,El Calafate
74,argentina,San Carlos de Bariloche,27539553,BRC,95674231,San Carlos de Bariloche
75,argentina,Corrientes,27539869,CNQ,128668019,Corrientes
76,mexico,Mexico City,39151418,MEX,95673321,Mexico City Juarez International
77,mexico,Mexico City,39151418,NLU,129053801,Felipe Angeles International
78,mexico,Cancun,27540602,CUN,95673718,Cancun
79,mexico,Guadalajara,27541785,GDL,95673440,Guadalajara
80,mexico,Tijuana,27547185,TIJ,95673471,Tijuana
